"transferee_name","date","amount","related_private_letter","page"
"AL Services","7/14/2021",191768,"N/A",17
"Plotlogic Pty, Ltd","1/11/2021",159806,"N/A",18
"Rei Do Pitaco Limited","4/19/2021",159806,"N/A",19
"Clue By Biowink GmbH","Various",161483,"N/A",20
"Jokr S.A.R.L.","Various",238846,"N/A",21
"Ubits Learning Solutions, S.A.S.","Various",180202,"N/A",22
"Leap Technologies Private Ltd","Various",160001,"N/A",23
"Morressier GmbH","Various",107700,"N/A",24
"Pplingo Holdings, Ltd","Various",143831,"N/A",25
"SNYK, Ltd","4/26/2021",341712,"N/A",26
"Castle Tech GmbH","11/17/2021",116346,"N/A",27
"Cyber Hunters Ltd.","12/6/2021",135242,"N/A",28
"Mobilesson Ltd.","12/22/2021",225354,"N/A",29
"N26 GmbH","11/19/2021",51126,"N/A",30
"Davanti Group BV","Various",11612,"N/A",31
"Newcold Argentan Holding BV","Various",14023,"N/A",32
"Flixmobility GmbH","6/4/2021",363408,"N/A",33
"Glovoapp23, S.L.","4/27/2021",321423,"N/A",34
"Kry International AB","5/14/2021",282096,"N/A",35
"The Power MBA","8/25/2021",231645,"N/A",36
"Yoco Holdings C1/GBL","6/14/2021",225036,"N/A",37
"Opay Limited","6/7/2021",148148,"N/A",38
"Tulp Street Pte Limited","6/17/2021",206008,"N/A",39
"Salt Pay Co Ltd.","3/29/2021",343363,"N/A",40
"Scalable Capital GmbH","6/21/2021",223832,"N/A",41
"Swile","7/15/2021",253882,"N/A",42
"Webull Corporation","6/10/2021",333005,"N/A",43
"Bought by Many Limited","6/4/2021",326566,"N/A",44
"Skaleet SA F/K/A Tagpay SA","9/20/2021",133964,"N/A",45
"Fireblocks Ltd.","2/18/2021",477298,"N/A",46
"Barbara Sturm Molecular Cosmetics GmbH","3/8/2021",235443,"N/A",47
"Orca Security Ltd.","8/4/2021",239026,"N/A",48
"Mobilesson Ltd.","12/22/2021",159359,"N/A",49
"Bitpanda GmbH","10/14/2021",453693,"N/A",50
"Majority AB","Various",152726,"N/A",51
"Buku Pte. Ltd.","5/27/2021",214945,"N/A",52
"Anomaly Capital International Ltd","6/1/2022",4e+06,"N/A",53
"ARCM Feeder Fund IV Ltd.","9/1/2021",8e+05,"N/A",54
"CoreView Offshore Fund Ltd","9/1/2021, 2/1/2022 & 4/1/2022",5500000,"N/A",55
"Kora Offshore Fund Ltd","2/1/2021, 4/1/2022 & 5/1/2022",1e+07,"N/A",56
"Soleus Capital Offshore, Ltd.","5/1/2022",1.5e+07,"N/A",57
"Neo Financial Technologies Inc.","2/22/2021",349483,"N/A",58
"Nufin GmbH","2/1/2021",211775,"N/A",59
"Lion TopCo Limited","9/23/2021",204312,"N/A",60
"Blue Phoenix Holding B.V.","Various",413016,"N/A",61
"Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)","Various",117696,"N/A",62
"Rehab and Mental Healthcare Group B.V.","Various",579693,"N/A",63
"Rehab and Mental Healthcare Group B.V.","Various",382935,"N/A",64
"Apollo Topco B.V.","Various",365946,"N/A",65
"Cross Ocean Aviation Fund | (Intl) DAC","Various",2807638,"N/A",66
"ADA Support, Inc.","Various",192594,"N/A",67
"Synthesia Limited","Various",167368,"N/A",68
"Chargelab Inc.","2/5/2021",109479,"N/A",69
"Kuda Technologies Limited","8/3/2021",175130,"N/A",70
"Shopup PTE. Ltd.","Various",287113,"N/A",71
"DEFI Holding PTE. Ltd.","Various",118634,"N/A",72
"Svava Pte. Ltd.","7/7/2021",133450,"N/A",73
"Newcold Corby Holding II B.V.","Various",102724,"N/A",74
"Shares S.A.S","Various",137371,"N/A",75
"Portofino Technologies AG","Various",148019,"N/A",76
"Nufin GmbH","8/31/2021",94759,"N/A",77
"Dream Games Holdings Ltd","12/20/2021",244940,"N/A",78
"Motorway Online Ltd","11/23/2021",153880,"N/A",79
"Kuda Technologies Limited","2/24/2021",266551,"N/A",80
"Tangerine Financial Limited","10/15/2021",95006,"N/A",81
"Newcold Development BV","12/1/2021",1955,"N/A",82
"Newcold Rheine Holdings II BV","6/29/2021",12539,"N/A",83
"Paper Education Company Inc","6/22/2021",873406,"N/A",84
"Swift Medical Inc","6/28/2021",116914,"N/A",85
"Skywatch Space Applications Inc","5/11/2021",154219,"N/A",86
"PW Real Estate Fund III Feeder LP","7/29/2021",395802,"N/A",87
"Plotlogic Pty, Ltd","1/11/2021",20560,"N/A",88
"Bizmo Technologies Pte. Ltd.","11/1/2021",46613,"N/A",89
"Bizmo Technologies Pte. Ltd.","11/1/2021",65272,"N/A",90
"Swift Medical Inc","6/28/2021",20729,"N/A",91
"Aviron Interactive Inc.","12/10/2021",94819,"N/A",92
"Aviron Interactive Inc.","12/10/2021",64909,"N/A",93
