"src","dest","amount","transferee_country","overseeing_fund","step_from","step_to"
"Ahoy Capital Seed Technology Partners","AL Services",191768,"Cayman Islands","Ahoy Capital Seed Technology Partners",1,3
"Ahoy Capital Seed Technology Partners","Plotlogic Pty, Ltd",159806,"Australia","Ahoy Capital Seed Technology Partners",1,3
"Ahoy Capital Seed Technology Partners","Rei Do Pitaco Limited",159806,"Cayman Islands","Ahoy Capital Seed Technology Partners",1,3
"Balderton Capital","Clue By Biowink GmbH",161483,"Germany","Balderton Capital",1,3
"Balderton Capital","Jokr S.A.R.L.",238846,"Luxembourg","Balderton Capital",1,3
"DCVC V, LP","Plotlogic Pty, Ltd",20560,"Australia","DCVC V, LP",1,3
"Data Collective","Swift Medical Inc",20729,"Canada","Data Collective",1,3
"Firstmark Capital","Firstmark Capital V, L.P.",167368,"Not Applicable","Firstmark Capital",1,2
"Firstmark Capital","Firstmark Capital of Ill, L.P.",192594,"Not Applicable","Firstmark Capital",1,2
"Firstmark Capital V, L.P.","Synthesia Limited",167368,"United Kingdom","Firstmark Capital",2,3
"Firstmark Capital of Ill, L.P.","ADA Support, Inc.",192594,"Canada","Firstmark Capital",2,3
"Hedosophia Partners","Bought by Many Limited",326566,"United Kingdom","Hedosophia Partners",1,3
"Hedosophia Partners","Flixmobility GmbH",363408,"Germany","Hedosophia Partners",1,3
"Hedosophia Partners","Glovoapp23, S.L.",321423,"Spain","Hedosophia Partners",1,3
"Hedosophia Partners","Kry International AB",282096,"Sweden","Hedosophia Partners",1,3
"Hedosophia Partners","Opay Limited",148148,"Cayman Islands","Hedosophia Partners",1,3
"Hedosophia Partners","Salt Pay Co Ltd.",343363,"Cayman Islands","Hedosophia Partners",1,3
"Hedosophia Partners","Scalable Capital GmbH",223832,"Germany","Hedosophia Partners",1,3
"Hedosophia Partners","Swile",253882,"France","Hedosophia Partners",1,3
"Hedosophia Partners","The Power MBA",231645,"Spain","Hedosophia Partners",1,3
"Hedosophia Partners","Tulp Street Pte Limited",206008,"Singapore","Hedosophia Partners",1,3
"Hedosophia Partners","Webull Corporation",333005,"Cayman Islands","Hedosophia Partners",1,3
"Hedosophia Partners","Yoco Holdings C1/GBL",225036,"South Africa","Hedosophia Partners",1,3
"Index Ventures Growth","Dream Games Holdings Ltd",244940,"Turkey","Index Ventures Growth",1,3
"Index Ventures Growth","Motorway Online Ltd",153880,"United Kingdom","Index Ventures Growth",1,3
"Long Arc Capital Fund","Skaleet SA F/K/A Tagpay SA",133964,"France","Long Arc Capital Fund",1,3
"Marlin Equity","Lion TopCo Limited",204312,"United Kingdom","Marlin Equity",1,3
"OWL Ventures","Ubits Learning Solutions, S.A.S.",180202,"Colombia","OWL Ventures",1,3
"Owl Ventures","Leap Technologies Private Ltd",160001,"Singapore","Owl Ventures",1,3
"Owl Ventures","Morressier GmbH",107700,"Germany","Owl Ventures",1,3
"Owl Ventures","Pplingo Holdings, Ltd",143831,"British Virgin Islands","Owl Ventures",1,3
"PW Real Estate Fund","PW Real Estate Fund III Feeder LP",395802,"Jersey","PW Real Estate Fund",1,3
"Root Ventures","Chargelab Inc.",109479,"Canada","Root Ventures",1,3
"Sango Capital Partners","Tangerine Financial Limited",95006,"United Kingdom","Sango Capital Partners",1,3
"Stripes III Offshore AIV, LP","SNYK, Ltd",341712,"United Kingdom","Stripes Offshore",2,3
"Stripes IV Offshore AIV, LP","Aviron Interactive Inc.",94819,"Canada","Stripes Offshore",2,3
"Stripes IV Offshore AIV, LP","Castle Tech GmbH",116346,"Germany","Stripes Offshore",2,3
"Stripes IV Offshore AIV, LP","Cyber Hunters Ltd.",135242,"Israel","Stripes Offshore",2,3
"Stripes IV Offshore AIV, LP","Mobilesson Ltd.",225354,"Israel","Stripes Offshore",2,3
"Stripes Offshore","Stripes III Offshore AIV, LP",341712,"Not Applicable","Stripes Offshore",1,2
"Stripes Offshore","Stripes IV Offshore AIV, LP",571761,"Not Applicable","Stripes Offshore",1,2
"Stripes Offshore","Stripes V(A) Offshore AIV, LP",1176035,"Not Applicable","Stripes Offshore",1,2
"Stripes V(A) Offshore AIV, LP","Aviron Interactive Inc.",64909,"Canada","Stripes Offshore",2,3
"Stripes V(A) Offshore AIV, LP","Barbara Sturm Molecular Cosmetics GmbH",235443,"Germany","Stripes Offshore",2,3
"Stripes V(A) Offshore AIV, LP","Fireblocks Ltd.",477298,"Israel","Stripes Offshore",2,3
"Stripes V(A) Offshore AIV, LP","Mobilesson Ltd.",159359,"Israel","Stripes Offshore",2,3
"Stripes V(A) Offshore AIV, LP","Orca Security Ltd.",239026,"Israel","Stripes Offshore",2,3
"VIA Seed Technology Partners","Paper Education Company Inc",873406,"Canada","VIA Seed Technology Partners",1,3
"VIA Seed Technology Partners","Skywatch Space Applications Inc",154219,"Canada","VIA Seed Technology Partners",1,3
"VIA Seed Technology Partners","Swift Medical Inc",116914,"Canada","VIA Seed Technology Partners",1,3
"Valar Fund","Valar Fund VI LP",827809,"Not Applicable","Valar Fund",1,2
"Valar Fund","Valar Fund VI, LP",46613,"Not Applicable","Valar Fund",1,2
"Valar Fund","Valar Fund VII LP",1766167,"Not Applicable","Valar Fund",1,2
"Valar Fund VI LP","Kuda Technologies Limited",266551,"United Kingdom","Valar Fund",2,3
"Valar Fund VI LP","Neo Financial Technologies Inc.",349483,"Canada","Valar Fund",2,3
"Valar Fund VI LP","Nufin GmbH",211775,"Germany","Valar Fund",2,3
"Valar Fund VI, LP","Bizmo Technologies Pte. Ltd.",46613,"Singapore","Valar Fund",2,3
"Valar Fund VII LP","Bitpanda GmbH",453693,"Austria","Valar Fund",2,3
"Valar Fund VII LP","Bizmo Technologies Pte. Ltd.",65272,"Singapore","Valar Fund",2,3
"Valar Fund VII LP","DEFI Holding PTE. Ltd.",118634,"Singapore","Valar Fund",2,3
"Valar Fund VII LP","Kuda Technologies Limited",175130,"United Kingdom","Valar Fund",2,3
"Valar Fund VII LP","Majority AB",152726,"Sweden","Valar Fund",2,3
"Valar Fund VII LP","Nufin GmbH",94759,"Germany","Valar Fund",2,3
"Valar Fund VII LP","Portofino Technologies AG",148019,"Switzerland","Valar Fund",2,3
"Valar Fund VII LP","Shares S.A.S",137371,"France","Valar Fund",2,3
"Valar Fund VII LP","Shopup PTE. Ltd.",287113,"Singapore","Valar Fund",2,3
"Valar Fund VII LP","Svava Pte. Ltd.",133450,"Singapore","Valar Fund",2,3
"Valar Velocity Fund","N26 GmbH",51126,"Germany","Valar Velocity Fund",1,3
"WCP Newcold","WCP Newcold LP",25635,"Not Applicable","WCP Newcold",1,2
"WCP Newcold","WCP Newcold, LP",117186,"Not Applicable","WCP Newcold",1,2
"WCP Newcold LP","Davanti Group BV",11612,"Netherlands","WCP Newcold",2,3
"WCP Newcold LP","Newcold Argentan Holding BV",14023,"Netherlands","WCP Newcold",2,3
"WCP Newcold, LP","Newcold Corby Holding II B.V.",102724,"Netherlands","WCP Newcold",2,3
"WCP Newcold, LP","Newcold Development BV",1955,"Netherlands","WCP Newcold",2,3
"WCP Newcold, LP","Newcold Rheine Holdings II BV",12507,"Netherlands","WCP Newcold",2,3
"WPEF Feeder","WPEF VI Feeder LP",413016,"Not Applicable","WPEF Feeder",1,2
"WPEF Feeder","WPEF VII Feeder LP",697389,"Not Applicable","WPEF Feeder",1,2
"WPEF Feeder","WPEF VIII Feeder LP",748881,"Not Applicable","WPEF Feeder",1,2
"WPEF VI Feeder LP","Blue Phoenix Holding B.V.",413016,"Netherlands","WPEF Feeder",2,3
"WPEF VII Feeder LP","Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)",117696,"Denmark","WPEF Feeder",2,3
"WPEF VII Feeder LP","Rehab and Mental Healthcare Group B.V.",579693,"Netherlands","WPEF Feeder",2,3
"WPEF VIII Feeder LP","Apollo Topco B.V.",365946,"Belgium","WPEF Feeder",2,3
"WPEF VIII Feeder LP","Rehab and Mental Healthcare Group B.V.",382935,"Netherlands","WPEF Feeder",2,3
